firstName,lastName,emailAddress,active
ANNA,HILL,ANNA.HILL@sakilacustomer.org,1
REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,1
VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,1
KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,1
PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,1
MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,1
DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,1
AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,1
STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,1
CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,1
CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1
MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,1
JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1
CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,1
FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,1
ANN,EVANS,ANN.EVANS@sakilacustomer.org,1
JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,1
DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,1
ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1
JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,1
HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,1
TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,1
DORIS,REED,DORIS.REED@sakilacustomer.org,1
GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,1
EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,1
JEAN,BELL,JEAN.BELL@sakilacustomer.org,1
CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,1
MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,1
KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,1
JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,1
ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1
JUDITH,COX,JUDITH.COX@sakilacustomer.org,0
ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,1
JANICE,WARD,JANICE.WARD@sakilacustomer.org,1
KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,1
NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,1
JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1
CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,1
KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,1
THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,1
BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1
DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1
TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,1
IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,1
JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,1
LORI,WOOD,LORI.WOOD@sakilacustomer.org,1
RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,1
MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,1
ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,1
KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,1
LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,1
SARA,PERRY,SARA.PERRY@sakilacustomer.org,1
ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,1
JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,1
WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1
BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,1
JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1
RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,1
LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,1
TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,1
PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,1
NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,1
PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,1
DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,1
ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,1
LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,1
EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,1
ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,1
PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,1
CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,1
GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,1
RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,1
DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,1
CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,1
FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,1
TRACY,COLE,TRACY.COLE@sakilacustomer.org,1
EDNA,WEST,EDNA.WEST@sakilacustomer.org,1
TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,1
CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,1
ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,1
CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,1
GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,1
WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,1
VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,1
EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,1
KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,1
SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1
SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,1
JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,1
THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,1
SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,1
SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,0
ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,1
ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1
ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,1
MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,1
CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,1
CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,1
MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,1
ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,1
PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,1
EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,1
JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,1
ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,1
RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,1
HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,1
AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,1
EVA,RAMOS,EVA.RAMOS@sakilacustomer.org,1
DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,1
APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,1
LESLIE,GORDON,LESLIE.GORDON@sakilacustomer.org,1
CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,1
LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,1
JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,1
JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,1
ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,1
VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,1
DANIELLE,DANIELS,DANIELLE.DANIELS@sakilacustomer.org,1
MEGAN,PALMER,MEGAN.PALMER@sakilacustomer.org,1
ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,1
SUZANNE,NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,1
MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,1
GAIL,KNIGHT,GAIL.KNIGHT@sakilacustomer.org,1
BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,1
DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,1
VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,1
JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,1
ERIN,DUNN,ERIN.DUNN@sakilacustomer.org,1
GERALDINE,PERKINS,GERALDINE.PERKINS@sakilacustomer.org,1
LAUREN,HUDSON,LAUREN.HUDSON@sakilacustomer.org,1
CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,1
JOANN,GARDNER,JOANN.GARDNER@sakilacustomer.org,1
LORRAINE,STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,1
LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,1
SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,1
REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,1
ERICA,MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,0
BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,1
DOLORES,WAGNER,DOLORES.WAGNER@sakilacustomer.org,1
BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,1
AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,1
YVONNE,WATKINS,YVONNE.WATKINS@sakilacustomer.org,1
ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,1
JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,1
SAMANTHA,DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,1
MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,1
DANA,HART,DANA.HART@sakilacustomer.org,1
STACY,CUNNINGHAM,STACY.CUNNINGHAM@sakilacustomer.org,1
ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,1
RENEE,LANE,RENEE.LANE@sakilacustomer.org,1
IDA,ANDREWS,IDA.ANDREWS@sakilacustomer.org,1
VIVIAN,RUIZ,VIVIAN.RUIZ@sakilacustomer.org,1
ROBERTA,HARPER,ROBERTA.HARPER@sakilacustomer.org,1
HOLLY,FOX,HOLLY.FOX@sakilacustomer.org,1
BRITTANY,RILEY,BRITTANY.RILEY@sakilacustomer.org,1
MELANIE,ARMSTRONG,MELANIE.ARMSTRONG@sakilacustomer.org,1
LORETTA,CARPENTER,LORETTA.CARPENTER@sakilacustomer.org,1
YOLANDA,WEAVER,YOLANDA.WEAVER@sakilacustomer.org,1
JEANETTE,GREENE,JEANETTE.GREENE@sakilacustomer.org,1
LAURIE,LAWRENCE,LAURIE.LAWRENCE@sakilacustomer.org,1
KATIE,ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,1
KRISTEN,CHAVEZ,KRISTEN.CHAVEZ@sakilacustomer.org,1
VANESSA,SIMS,VANESSA.SIMS@sakilacustomer.org,1
ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,1
SUE,PETERS,SUE.PETERS@sakilacustomer.org,1
ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,1
BETH,FRANKLIN,BETH.FRANKLIN@sakilacustomer.org,1
JEANNE,LAWSON,JEANNE.LAWSON@sakilacustomer.org,1
VICKI,FIELDS,VICKI.FIELDS@sakilacustomer.org,1
CARLA,GUTIERREZ,CARLA.GUTIERREZ@sakilacustomer.org,1
TARA,RYAN,TARA.RYAN@sakilacustomer.org,1
ROSEMARY,SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,1
EILEEN,CARR,EILEEN.CARR@sakilacustomer.org,1
TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,1
GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,1
LUCY,WHEELER,LUCY.WHEELER@sakilacustomer.org,1
TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,1
ELLA,OLIVER,ELLA.OLIVER@sakilacustomer.org,1
STACEY,MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,1
WILMA,RICHARDS,WILMA.RICHARDS@sakilacustomer.org,1
GINA,WILLIAMSON,GINA.WILLIAMSON@sakilacustomer.org,1
KRISTIN,JOHNSTON,KRISTIN.JOHNSTON@sakilacustomer.org,1
JESSIE,BANKS,JESSIE.BANKS@sakilacustomer.org,1
NATALIE,MEYER,NATALIE.MEYER@sakilacustomer.org,1
AGNES,BISHOP,AGNES.BISHOP@sakilacustomer.org,1
VERA,MCCOY,VERA.MCCOY@sakilacustomer.org,1
WILLIE,HOWELL,WILLIE.HOWELL@sakilacustomer.org,1
CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,1
BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,1
DELORES,HANSEN,DELORES.HANSEN@sakilacustomer.org,1
MELINDA,FERNANDEZ,MELINDA.FERNANDEZ@sakilacustomer.org,1
PEARL,GARZA,PEARL.GARZA@sakilacustomer.org,1
ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,1
MAUREEN,LITTLE,MAUREEN.LITTLE@sakilacustomer.org,1
COLLEEN,BURTON,COLLEEN.BURTON@sakilacustomer.org,1
ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,1
TAMARA,NGUYEN,TAMARA.NGUYEN@sakilacustomer.org,1
JOY,GEORGE,JOY.GEORGE@sakilacustomer.org,1
GEORGIA,JACOBS,GEORGIA.JACOBS@sakilacustomer.org,1
CONSTANCE,REID,CONSTANCE.REID@sakilacustomer.org,1
LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,1
CLAUDIA,FULLER,CLAUDIA.FULLER@sakilacustomer.org,1
JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,1
MARCIA,DEAN,MARCIA.DEAN@sakilacustomer.org,1
TANYA,GILBERT,TANYA.GILBERT@sakilacustomer.org,1
NELLIE,GARRETT,NELLIE.GARRETT@sakilacustomer.org,1
MINNIE,ROMERO,MINNIE.ROMERO@sakilacustomer.org,1
MARLENE,WELCH,MARLENE.WELCH@sakilacustomer.org,1
HEIDI,LARSON,HEIDI.LARSON@sakilacustomer.org,0
GLENDA,FRAZIER,GLENDA.FRAZIER@sakilacustomer.org,1
LYDIA,BURKE,LYDIA.BURKE@sakilacustomer.org,1
VIOLA,HANSON,VIOLA.HANSON@sakilacustomer.org,1
COURTNEY,DAY,COURTNEY.DAY@sakilacustomer.org,1
MARIAN,MENDOZA,MARIAN.MENDOZA@sakilacustomer.org,1
STELLA,MORENO,STELLA.MORENO@sakilacustomer.org,1
CAROLINE,BOWMAN,CAROLINE.BOWMAN@sakilacustomer.org,1
DORA,MEDINA,DORA.MEDINA@sakilacustomer.org,1
JO,FOWLER,JO.FOWLER@sakilacustomer.org,1
VICKIE,BREWER,VICKIE.BREWER@sakilacustomer.org,1
MATTIE,HOFFMAN,MATTIE.HOFFMAN@sakilacustomer.org,1
TERRY,CARLSON,TERRY.CARLSON@sakilacustomer.org,1
MAXINE,SILVA,MAXINE.SILVA@sakilacustomer.org,1
IRMA,PEARSON,IRMA.PEARSON@sakilacustomer.org,1
MABEL,HOLLAND,MABEL.HOLLAND@sakilacustomer.org,1
MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,1
MYRTLE,FLEMING,MYRTLE.FLEMING@sakilacustomer.org,1
LENA,JENSEN,LENA.JENSEN@sakilacustomer.org,1
CHRISTY,VARGAS,CHRISTY.VARGAS@sakilacustomer.org,1
DEANNA,BYRD,DEANNA.BYRD@sakilacustomer.org,1
PATSY,DAVIDSON,PATSY.DAVIDSON@sakilacustomer.org,1
HILDA,HOPKINS,HILDA.HOPKINS@sakilacustomer.org,1
GWENDOLYN,MAY,GWENDOLYN.MAY@sakilacustomer.org,1
JENNIE,TERRY,JENNIE.TERRY@sakilacustomer.org,1
NORA,HERRERA,NORA.HERRERA@sakilacustomer.org,1
MARGIE,WADE,MARGIE.WADE@sakilacustomer.org,1
NINA,SOTO,NINA.SOTO@sakilacustomer.org,1
CASSANDRA,WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,1
LEAH,CURTIS,LEAH.CURTIS@sakilacustomer.org,1
PENNY,NEAL,PENNY.NEAL@sakilacustomer.org,0
KAY,CALDWELL,KAY.CALDWELL@sakilacustomer.org,1
PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,1
NAOMI,JENNINGS,NAOMI.JENNINGS@sakilacustomer.org,1
CAROLE,BARNETT,CAROLE.BARNETT@sakilacustomer.org,1
BRANDY,GRAVES,BRANDY.GRAVES@sakilacustomer.org,1
OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,1
BILLIE,HORTON,BILLIE.HORTON@sakilacustomer.org,1
DIANNE,SHELTON,DIANNE.SHELTON@sakilacustomer.org,1
TRACEY,BARRETT,TRACEY.BARRETT@sakilacustomer.org,1
LEONA,OBRIEN,LEONA.OBRIEN@sakilacustomer.org,1
JENNY,CASTRO,JENNY.CASTRO@sakilacustomer.org,1
FELICIA,SUTTON,FELICIA.SUTTON@sakilacustomer.org,1
SONIA,GREGORY,SONIA.GREGORY@sakilacustomer.org,1
MIRIAM,MCKINNEY,MIRIAM.MCKINNEY@sakilacustomer.org,1
VELMA,LUCAS,VELMA.LUCAS@sakilacustomer.org,1
BECKY,MILES,BECKY.MILES@sakilacustomer.org,1
BOBBIE,CRAIG,BOBBIE.CRAIG@sakilacustomer.org,1
VIOLET,RODRIQUEZ,VIOLET.RODRIQUEZ@sakilacustomer.org,1
KRISTINA,CHAMBERS,KRISTINA.CHAMBERS@sakilacustomer.org,1
TONI,HOLT,TONI.HOLT@sakilacustomer.org,1
MISTY,LAMBERT,MISTY.LAMBERT@sakilacustomer.org,1
MAE,FLETCHER,MAE.FLETCHER@sakilacustomer.org,1
SHELLY,WATTS,SHELLY.WATTS@sakilacustomer.org,1
DAISY,BATES,DAISY.BATES@sakilacustomer.org,1
RAMONA,HALE,RAMONA.HALE@sakilacustomer.org,1
SHERRI,RHODES,SHERRI.RHODES@sakilacustomer.org,1
ERIKA,PENA,ERIKA.PENA@sakilacustomer.org,1
JAMES,GANNON,JAMES.GANNON@sakilacustomer.org,1
JOHN,FARNSWORTH,JOHN.FARNSWORTH@sakilacustomer.org,1
ROBERT,BAUGHMAN,ROBERT.BAUGHMAN@sakilacustomer.org,1
MICHAEL,SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,1
WILLIAM,SATTERFIELD,WILLIAM.SATTERFIELD@sakilacustomer.org,1
DAVID,ROYAL,DAVID.ROYAL@sakilacustomer.org,1
RICHARD,MCCRARY,RICHARD.MCCRARY@sakilacustomer.org,1
CHARLES,KOWALSKI,CHARLES.KOWALSKI@sakilacustomer.org,1
JOSEPH,JOY,JOSEPH.JOY@sakilacustomer.org,1
THOMAS,GRIGSBY,THOMAS.GRIGSBY@sakilacustomer.org,1
CHRISTOPHER,GRECO,CHRISTOPHER.GRECO@sakilacustomer.org,1
DANIEL,CABRAL,DANIEL.CABRAL@sakilacustomer.org,1
PAUL,TROUT,PAUL.TROUT@sakilacustomer.org,1
MARK,RINEHART,MARK.RINEHART@sakilacustomer.org,1
DONALD,MAHON,DONALD.MAHON@sakilacustomer.org,1
GEORGE,LINTON,GEORGE.LINTON@sakilacustomer.org,1
KENNETH,GOODEN,KENNETH.GOODEN@sakilacustomer.org,0
STEVEN,CURLEY,STEVEN.CURLEY@sakilacustomer.org,1
EDWARD,BAUGH,EDWARD.BAUGH@sakilacustomer.org,1
BRIAN,WYMAN,BRIAN.WYMAN@sakilacustomer.org,1
RONALD,WEINER,RONALD.WEINER@sakilacustomer.org,1
ANTHONY,SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,1
KEVIN,SCHULER,KEVIN.SCHULER@sakilacustomer.org,1
JASON,MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,1
MATTHEW,MAHAN,MATTHEW.MAHAN@sakilacustomer.org,1
GARY,COY,GARY.COY@sakilacustomer.org,1
TIMOTHY,BUNN,TIMOTHY.BUNN@sakilacustomer.org,1
JOSE,ANDREW,JOSE.ANDREW@sakilacustomer.org,1
LARRY,THRASHER,LARRY.THRASHER@sakilacustomer.org,1
JEFFREY,SPEAR,JEFFREY.SPEAR@sakilacustomer.org,1
FRANK,WAGGONER,FRANK.WAGGONER@sakilacustomer.org,1
SCOTT,SHELLEY,SCOTT.SHELLEY@sakilacustomer.org,1
ERIC,ROBERT,ERIC.ROBERT@sakilacustomer.org,1
STEPHEN,QUALLS,STEPHEN.QUALLS@sakilacustomer.org,1
ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,1
RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,1
GREGORY,MAULDIN,GREGORY.MAULDIN@sakilacustomer.org,1
JOSHUA,MARK,JOSHUA.MARK@sakilacustomer.org,1
JERRY,JORDON,JERRY.JORDON@sakilacustomer.org,1
DENNIS,GILMAN,DENNIS.GILMAN@sakilacustomer.org,1
WALTER,PERRYMAN,WALTER.PERRYMAN@sakilacustomer.org,1
PATRICK,NEWSOM,PATRICK.NEWSOM@sakilacustomer.org,1
PETER,MENARD,PETER.MENARD@sakilacustomer.org,1
HAROLD,MARTINO,HAROLD.MARTINO@sakilacustomer.org,1
DOUGLAS,GRAF,DOUGLAS.GRAF@sakilacustomer.org,1
HENRY,BILLINGSLEY,HENRY.BILLINGSLEY@sakilacustomer.org,1
CARL,ARTIS,CARL.ARTIS@sakilacustomer.org,1
ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,1
RYAN,SALISBURY,RYAN.SALISBURY@sakilacustomer.org,1
ROGER,QUINTANILLA,ROGER.QUINTANILLA@sakilacustomer.org,1
JOE,GILLILAND,JOE.GILLILAND@sakilacustomer.org,1
JUAN,FRALEY,JUAN.FRALEY@sakilacustomer.org,1
JACK,FOUST,JACK.FOUST@sakilacustomer.org,1
ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,1
JONATHAN,SCARBOROUGH,JONATHAN.SCARBOROUGH@sakilacustomer.org,1
JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,1
TERRY,GRISSOM,TERRY.GRISSOM@sakilacustomer.org,1
GERALD,FULTZ,GERALD.FULTZ@sakilacustomer.org,1
KEITH,RICO,KEITH.RICO@sakilacustomer.org,1
SAMUEL,MARLOW,SAMUEL.MARLOW@sakilacustomer.org,1
WILLIE,MARKHAM,WILLIE.MARKHAM@sakilacustomer.org,1
RALPH,MADRIGAL,RALPH.MADRIGAL@sakilacustomer.org,1
LAWRENCE,LAWTON,LAWRENCE.LAWTON@sakilacustomer.org,1
NICHOLAS,BARFIELD,NICHOLAS.BARFIELD@sakilacustomer.org,1
ROY,WHITING,ROY.WHITING@sakilacustomer.org,1
BENJAMIN,VARNEY,BENJAMIN.VARNEY@sakilacustomer.org,1
BRUCE,SCHWARZ,BRUCE.SCHWARZ@sakilacustomer.org,1
BRANDON,HUEY,BRANDON.HUEY@sakilacustomer.org,1
ADAM,GOOCH,ADAM.GOOCH@sakilacustomer.org,1
HARRY,ARCE,HARRY.ARCE@sakilacustomer.org,0
FRED,WHEAT,FRED.WHEAT@sakilacustomer.org,1
WAYNE,TRUONG,WAYNE.TRUONG@sakilacustomer.org,1
BILLY,POULIN,BILLY.POULIN@sakilacustomer.org,1
STEVE,MACKENZIE,STEVE.MACKENZIE@sakilacustomer.org,1
LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,1
JEREMY,HURTADO,JEREMY.HURTADO@sakilacustomer.org,1
AARON,SELBY,AARON.SELBY@sakilacustomer.org,1
RANDY,GAITHER,RANDY.GAITHER@sakilacustomer.org,1
HOWARD,FORTNER,HOWARD.FORTNER@sakilacustomer.org,1
EUGENE,CULPEPPER,EUGENE.CULPEPPER@sakilacustomer.org,1
CARLOS,COUGHLIN,CARLOS.COUGHLIN@sakilacustomer.org,1
RUSSELL,BRINSON,RUSSELL.BRINSON@sakilacustomer.org,1
BOBBY,BOUDREAU,BOBBY.BOUDREAU@sakilacustomer.org,1
VICTOR,BARKLEY,VICTOR.BARKLEY@sakilacustomer.org,1
MARTIN,BALES,MARTIN.BALES@sakilacustomer.org,1
ERNEST,STEPP,ERNEST.STEPP@sakilacustomer.org,1
PHILLIP,HOLM,PHILLIP.HOLM@sakilacustomer.org,1
TODD,TAN,TODD.TAN@sakilacustomer.org,1
JESSE,SCHILLING,JESSE.SCHILLING@sakilacustomer.org,1
CRAIG,MORRELL,CRAIG.MORRELL@sakilacustomer.org,1
ALAN,KAHN,ALAN.KAHN@sakilacustomer.org,1
SHAWN,HEATON,SHAWN.HEATON@sakilacustomer.org,1
CLARENCE,GAMEZ,CLARENCE.GAMEZ@sakilacustomer.org,1
SEAN,DOUGLASS,SEAN.DOUGLASS@sakilacustomer.org,1
